sample_idx,q_p_ss_0,q_p_ss_1,q_p_ss_2,q_p_ss_3,u_ss_0,u_ss_1,u_ss_2,u_ss_3
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.12686251815506258,0.031715629538765645,-0.031715629538765645,0.031715629538765645,-0.031715629538765645
2,0.0,0.0,0.0,0.25372503631012516,0.06343125907753129,-0.06343125907753129,0.06343125907753129,-0.06343125907753129
3,0.0,0.0,0.0,0.38058755446518777,0.09514688861629694,-0.09514688861629694,0.09514688861629694,-0.09514688861629694
4,0.0,0.0,0.0,0.5074500726202503,0.12686251815506258,-0.12686251815506258,0.12686251815506258,-0.12686251815506258
5,0.0,0.0,0.0,0.6343125907753129,0.15857814769382822,-0.15857814769382822,0.15857814769382822,-0.15857814769382822
6,0.0,0.0,0.0,0.7611751089303755,0.19029377723259389,-0.19029377723259389,0.19029377723259389,-0.19029377723259389
7,0.0,0.0,0.0,0.8880376270854381,0.22200940677135952,-0.22200940677135952,0.22200940677135952,-0.22200940677135952
8,0.0,0.0,0.0,1.0149001452405007,0.25372503631012516,-0.25372503631012516,0.25372503631012516,-0.25372503631012516
9,0.0,0.0,0.0,1.1417626633955633,0.28544066584889083,-0.28544066584889083,0.28544066584889083,-0.28544066584889083
10,0.0,0.0,0.0,1.2686251815506258,0.31715629538765644,-0.31715629538765644,0.31715629538765644,-0.31715629538765644
11,0.0,0.0,0.0,1.3954876997056884,0.3488719249264221,-0.3488719249264221,0.3488719249264221,-0.3488719249264221
12,0.0,0.0,0.0,1.522350217860751,0.38058755446518777,-0.38058755446518777,0.38058755446518777,-0.38058755446518777
13,0.0,0.0,0.0,1.6492127360158135,0.4123031840039534,-0.4123031840039534,0.4123031840039534,-0.4123031840039534
14,0.0,0.0,0.0,1.7760752541708762,0.44401881354271905,-0.44401881354271905,0.44401881354271905,-0.44401881354271905
15,0.0,0.0,0.0,1.9029377723259386,0.47573444308148466,-0.47573444308148466,0.47573444308148466,-0.47573444308148466
16,0.0,0.0,0.0,2.0298002904810013,0.5074500726202503,-0.5074500726202503,0.5074500726202503,-0.5074500726202503
17,0.0,0.0,0.0,2.1566628086360637,0.5391657021590159,-0.5391657021590159,0.5391657021590159,-0.5391657021590159
18,0.0,0.0,0.0,2.2835253267911266,0.5708813316977817,-0.5708813316977817,0.5708813316977817,-0.5708813316977817
19,0.0,0.0,0.0,2.410387844946189,0.6025969612365473,-0.6025969612365473,0.6025969612365473,-0.6025969612365473
20,0.0,0.0,0.0,2.5372503631012515,0.6343125907753129,-0.6343125907753129,0.6343125907753129,-0.6343125907753129
21,0.0,0.0,0.0,2.6641128812563144,0.6660282203140786,-0.6660282203140786,0.6660282203140786,-0.6660282203140786
22,0.0,0.0,0.0,2.790975399411377,0.6977438498528442,-0.6977438498528442,0.6977438498528442,-0.6977438498528442
23,0.0,0.0,0.0,2.9178379175664393,0.7294594793916098,-0.7294594793916098,0.7294594793916098,-0.7294594793916098
24,0.0,0.0,0.0,3.044700435721502,0.7611751089303755,-0.7611751089303755,0.7611751089303755,-0.7611751089303755
25,0.0,0.0,0.0,3.1715629538765646,0.7928907384691412,-0.7928907384691412,0.7928907384691412,-0.7928907384691412
26,0.0,0.0,0.0,3.298425472031627,0.8246063680079068,-0.8246063680079068,0.8246063680079068,-0.8246063680079068
27,0.0,0.0,0.0,3.4252879901866895,0.8563219975466724,-0.8563219975466724,0.8563219975466724,-0.8563219975466724
28,0.0,0.0,0.0,3.5521505083417524,0.8880376270854381,-0.8880376270854381,0.8880376270854381,-0.8880376270854381
29,0.0,0.0,0.0,3.679013026496815,0.9197532566242037,-0.9197532566242037,0.9197532566242037,-0.9197532566242037
30,0.0,0.0,0.0,3.8058755446518773,0.9514688861629693,-0.9514688861629693,0.9514688861629693,-0.9514688861629693
31,0.0,0.0,0.0,3.93273806280694,0.983184515701735,-0.983184515701735,0.983184515701735,-0.983184515701735
32,0.0,0.0,0.0,4.059600580962003,1.0149001452405007,-1.0149001452405007,1.0149001452405007,-1.0149001452405007
33,0.0,0.0,0.0,4.1864630991170655,1.0466157747792664,-1.0466157747792664,1.0466157747792664,-1.0466157747792664
34,0.0,0.0,0.0,4.3133256172721275,1.0783314043180319,-1.0783314043180319,1.0783314043180319,-1.0783314043180319
35,0.0,0.0,0.0,4.44018813542719,1.1100470338567976,-1.1100470338567976,1.1100470338567976,-1.1100470338567976
36,0.0,0.0,0.0,4.567050653582253,1.1417626633955633,-1.1417626633955633,1.1417626633955633,-1.1417626633955633
37,0.0,0.0,0.0,4.693913171737315,1.1734782929343288,-1.1734782929343288,1.1734782929343288,-1.1734782929343288
38,0.0,0.0,0.0,4.820775689892378,1.2051939224730945,-1.2051939224730945,1.2051939224730945,-1.2051939224730945
39,0.0,0.0,0.0,4.947638208047441,1.2369095520118603,-1.2369095520118603,1.2369095520118603,-1.2369095520118603
40,0.0,0.0,0.0,5.074500726202503,1.2686251815506258,-1.2686251815506258,1.2686251815506258,-1.2686251815506258
41,0.0,0.0,0.0,5.201363244357566,1.3003408110893915,-1.3003408110893915,1.3003408110893915,-1.3003408110893915
42,0.0,0.0,0.0,5.328225762512629,1.3320564406281572,-1.3320564406281572,1.3320564406281572,-1.3320564406281572
43,0.0,0.0,0.0,5.455088280667691,1.3637720701669227,-1.3637720701669227,1.3637720701669227,-1.3637720701669227
44,0.0,0.0,0.0,5.581950798822754,1.3954876997056884,-1.3954876997056884,1.3954876997056884,-1.3954876997056884
45,0.0,0.0,0.0,5.708813316977817,1.4272033292444541,-1.4272033292444541,1.4272033292444541,-1.4272033292444541
46,0.0,0.0,0.0,5.835675835132879,1.4589189587832196,-1.4589189587832196,1.4589189587832196,-1.4589189587832196
47,0.0,0.0,0.0,5.9625383532879415,1.4906345883219854,-1.4906345883219854,1.4906345883219854,-1.4906345883219854
48,0.0,0.0,0.0,6.089400871443004,1.522350217860751,-1.522350217860751,1.522350217860751,-1.522350217860751
49,0.0,0.0,0.0,6.216263389598066,1.5540658473995166,-1.5540658473995166,1.5540658473995166,-1.5540658473995166
50,0.0,0.0,0.0,6.343125907753129,1.5857814769382823,-1.5857814769382823,1.5857814769382823,-1.5857814769382823
51,0.0,0.0,0.0,6.469988425908191,1.6174971064770478,-1.6174971064770478,1.6174971064770478,-1.6174971064770478
52,0.0,0.0,0.0,6.596850944063254,1.6492127360158135,-1.6492127360158135,1.6492127360158135,-1.6492127360158135
53,0.0,0.0,0.0,6.723713462218317,1.6809283655545793,-1.6809283655545793,1.6809283655545793,-1.6809283655545793
54,0.0,0.0,0.0,6.850575980373379,1.7126439950933448,-1.7126439950933448,1.7126439950933448,-1.7126439950933448
55,0.0,0.0,0.0,6.977438498528442,1.7443596246321105,-1.7443596246321105,1.7443596246321105,-1.7443596246321105
56,0.0,0.0,0.0,7.104301016683505,1.7760752541708762,-1.7760752541708762,1.7760752541708762,-1.7760752541708762
57,0.0,0.0,0.0,7.231163534838567,1.8077908837096417,-1.8077908837096417,1.8077908837096417,-1.8077908837096417
58,0.0,0.0,0.0,7.35802605299363,1.8395065132484074,-1.8395065132484074,1.8395065132484074,-1.8395065132484074
59,0.0,0.0,0.0,7.4848885711486925,1.8712221427871731,-1.8712221427871731,1.8712221427871731,-1.8712221427871731
60,0.0,0.0,0.0,7.6117510893037545,1.9029377723259386,-1.9029377723259386,1.9029377723259386,-1.9029377723259386
61,0.0,0.0,0.0,7.738613607458817,1.9346534018647044,-1.9346534018647044,1.9346534018647044,-1.9346534018647044
62,0.0,0.0,0.0,7.86547612561388,1.96636903140347,-1.96636903140347,1.96636903140347,-1.96636903140347
63,0.0,0.0,0.0,7.992338643768942,1.9980846609422356,-1.9980846609422356,1.9980846609422356,-1.9980846609422356
64,0.0,0.0,0.0,8.119201161924005,2.0298002904810013,-2.0298002904810013,2.0298002904810013,-2.0298002904810013
65,0.0,0.0,0.0,8.246063680079068,2.061515920019767,-2.061515920019767,2.061515920019767,-2.061515920019767
66,0.0,0.0,0.0,8.372926198234131,2.0932315495585327,-2.0932315495585327,2.0932315495585327,-2.0932315495585327
67,0.0,0.0,0.0,8.499788716389192,2.124947179097298,-2.124947179097298,2.124947179097298,-2.124947179097298
68,0.0,0.0,0.0,8.626651234544255,2.1566628086360637,-2.1566628086360637,2.1566628086360637,-2.1566628086360637
69,0.0,0.0,0.0,8.753513752699318,2.1883784381748295,-2.1883784381748295,2.1883784381748295,-2.1883784381748295
70,0.0,0.0,0.0,8.88037627085438,2.220094067713595,-2.220094067713595,2.220094067713595,-2.220094067713595
71,0.0,0.0,0.0,9.007238789009444,2.251809697252361,-2.251809697252361,2.251809697252361,-2.251809697252361
72,0.0,0.0,0.0,9.134101307164507,2.2835253267911266,-2.2835253267911266,2.2835253267911266,-2.2835253267911266
73,0.0,0.0,0.0,9.260963825319568,2.315240956329892,-2.315240956329892,2.315240956329892,-2.315240956329892
74,0.0,0.0,0.0,9.38782634347463,2.3469565858686576,-2.3469565858686576,2.3469565858686576,-2.3469565858686576
75,0.0,0.0,0.0,9.514688861629693,2.3786722154074234,-2.3786722154074234,2.3786722154074234,-2.3786722154074234
76,0.0,0.0,0.0,9.641551379784756,2.410387844946189,-2.410387844946189,2.410387844946189,-2.410387844946189
77,0.0,0.0,0.0,9.76841389793982,2.442103474484955,-2.442103474484955,2.442103474484955,-2.442103474484955
78,0.0,0.0,0.0,9.895276416094882,2.4738191040237205,-2.4738191040237205,2.4738191040237205,-2.4738191040237205
79,0.0,0.0,0.0,10.022138934249943,2.505534733562486,-2.505534733562486,2.505534733562486,-2.505534733562486
80,0.0,0.0,0.0,10.149001452405006,2.5372503631012515,-2.5372503631012515,2.5372503631012515,-2.5372503631012515
81,0.0,0.0,0.0,10.275863970560069,2.5689659926400172,-2.5689659926400172,2.5689659926400172,-2.5689659926400172
82,0.0,0.0,0.0,10.402726488715132,2.600681622178783,-2.600681622178783,2.600681622178783,-2.600681622178783
83,0.0,0.0,0.0,10.529589006870195,2.6323972517175487,-2.6323972517175487,2.6323972517175487,-2.6323972517175487
84,0.0,0.0,0.0,10.656451525025258,2.6641128812563144,-2.6641128812563144,2.6641128812563144,-2.6641128812563144
85,0.0,0.0,0.0,10.783314043180319,2.6958285107950797,-2.6958285107950797,2.6958285107950797,-2.6958285107950797
86,0.0,0.0,0.0,10.910176561335382,2.7275441403338454,-2.7275441403338454,2.7275441403338454,-2.7275441403338454
87,0.0,0.0,0.0,11.037039079490444,2.759259769872611,-2.759259769872611,2.759259769872611,-2.759259769872611
88,0.0,0.0,0.0,11.163901597645507,2.790975399411377,-2.790975399411377,2.790975399411377,-2.790975399411377
89,0.0,0.0,0.0,11.29076411580057,2.8226910289501426,-2.8226910289501426,2.8226910289501426,-2.8226910289501426
90,0.0,0.0,0.0,11.417626633955633,2.8544066584889083,-2.8544066584889083,2.8544066584889083,-2.8544066584889083
91,0.0,0.0,0.0,11.544489152110694,2.8861222880276736,-2.8861222880276736,2.8861222880276736,-2.8861222880276736
92,0.0,0.0,0.0,11.671351670265757,2.9178379175664393,-2.9178379175664393,2.9178379175664393,-2.9178379175664393
93,0.0,0.0,0.0,11.79821418842082,2.949553547105205,-2.949553547105205,2.949553547105205,-2.949553547105205
94,0.0,0.0,0.0,11.925076706575883,2.9812691766439707,-2.9812691766439707,2.9812691766439707,-2.9812691766439707
95,0.0,0.0,0.0,12.051939224730946,3.0129848061827365,-3.0129848061827365,3.0129848061827365,-3.0129848061827365
96,0.0,0.0,0.0,12.178801742886009,3.044700435721502,-3.044700435721502,3.044700435721502,-3.044700435721502
97,0.0,0.0,0.0,12.30566426104107,3.0764160652602675,-3.0764160652602675,3.0764160652602675,-3.0764160652602675
98,0.0,0.0,0.0,12.432526779196133,3.108131694799033,-3.108131694799033,3.108131694799033,-3.108131694799033
99,0.0,0.0,0.0,12.559389297351196,3.139846324338117,-3.139846324338117,3.139846324338117,-3.139846324338117
