sample_idx,q_p_ss_0,q_p_ss_1,q_p_ss_2,q_p_ss_3,u_ss_0,u_ss_1,u_ss_2,u_ss_3
0,0.0,0.0,-6.279694648675598,6.279694648675598,0.0,-3.139846324338117,0.0,-3.139846324338117
1,0.0,0.0,-6.216582139643682,6.279694648675598,0.01577812725797889,-3.12406919707982,0.01577812725797889,-3.12406919707982
2,0.0,0.0,-6.153469630611767,6.279694648675598,0.03155625451595778,-3.108291069821841,0.03155625451595778,-3.108291069821841
3,0.0,0.0,-6.090357121579851,6.279694648675598,0.04733438177393667,-3.092512942563862,0.04733438177393667,-3.092512942563862
4,0.0,0.0,-6.0272446125479355,6.279694648675598,0.06311250903191556,-3.0767348153058833,0.06311250903191556,-3.0767348153058833
5,0.0,0.0,-5.96413210351602,6.279694648675598,0.07889063628989446,-3.0609566880479044,0.07889063628989446,-3.0609566880479044
6,0.0,0.0,-5.901019594484104,6.279694648675598,0.09466876354787335,-3.0451785607899255,0.09466876354787335,-3.0451785607899255
7,0.0,0.0,-5.837907085452189,6.279694648675598,0.11044689080585224,-3.0294004335319467,0.11044689080585224,-3.0294004335319467
8,0.0,0.0,-5.774794576420273,6.279694648675598,0.12622501806383113,-3.0136223062739678,0.12622501806383113,-3.0136223062739678
9,0.0,0.0,-5.711682067388358,6.279694648675598,0.14200314532181002,-2.997844179015989,0.14200314532181002,-2.997844179015989
10,0.0,0.0,-5.648569558356442,6.279694648675598,0.1577812725797889,-2.98206605175801,0.1577812725797889,-2.98206605175801
11,0.0,0.0,-5.585457049324527,6.279694648675598,0.1735593998377678,-2.966287924500031,0.1735593998377678,-2.966287924500031
12,0.0,0.0,-5.522344540292611,6.279694648675598,0.1893375270957467,-2.950509797242052,0.1893375270957467,-2.950509797242052
13,0.0,0.0,-5.4592320312606955,6.279694648675598,0.20511565435372558,-2.9347316699840733,0.20511565435372558,-2.9347316699840733
14,0.0,0.0,-5.39611952222878,6.279694648675598,0.22089378161170448,-2.9189535427260944,0.22089378161170448,-2.9189535427260944
15,0.0,0.0,-5.333007013196864,6.279694648675598,0.23667190886968337,-2.9031754154681155,0.23667190886968337,-2.9031754154681155
16,0.0,0.0,-5.269894504164949,6.279694648675598,0.25245003612766226,-2.8873972882101366,0.25245003612766226,-2.8873972882101366
17,0.0,0.0,-5.206781995133033,6.279694648675598,0.26822816338564115,-2.8716191609521577,0.26822816338564115,-2.8716191609521577
18,0.0,0.0,-5.143669486101118,6.279694648675598,0.28400629064362004,-2.855841033694179,0.28400629064362004,-2.855841033694179
19,0.0,0.0,-5.080556977069202,6.279694648675598,0.29978441790159893,-2.8400629064362,0.29978441790159893,-2.8400629064362
20,0.0,0.0,-5.0174444680372865,6.279694648675598,0.3155625451595778,-2.824284779178221,0.3155625451595778,-2.824284779178221
21,0.0,0.0,-4.954331959005371,6.279694648675598,0.3313406724175567,-2.808506651920242,0.3313406724175567,-2.808506651920242
22,0.0,0.0,-4.891219449973455,6.279694648675598,0.3471187996755356,-2.7927285246622633,0.3471187996755356,-2.7927285246622633
23,0.0,0.0,-4.82810694094154,6.279694648675598,0.3628969269335145,-2.7769503974042844,0.3628969269335145,-2.7769503974042844
24,0.0,0.0,-4.764994431909624,6.279694648675598,0.3786750541914934,-2.7611722701463055,0.3786750541914934,-2.7611722701463055
25,0.0,0.0,-4.701881922877709,6.279694648675598,0.3944531814494723,-2.7453941428883266,0.3944531814494723,-2.7453941428883266
26,0.0,0.0,-4.638769413845793,6.279694648675598,0.41023130870745117,-2.7296160156303477,0.41023130870745117,-2.7296160156303477
27,0.0,0.0,-4.5756569048138775,6.279694648675598,0.42600943596543006,-2.713837888372369,0.42600943596543006,-2.713837888372369
28,0.0,0.0,-4.512544395781962,6.279694648675598,0.44178756322340895,-2.69805976111439,0.44178756322340895,-2.69805976111439
29,0.0,0.0,-4.449431886750046,6.279694648675598,0.45756569048138784,-2.682281633856411,0.45756569048138784,-2.682281633856411
30,0.0,0.0,-4.386319377718131,6.279694648675598,0.47334381773936673,-2.666503506598432,0.47334381773936673,-2.666503506598432
31,0.0,0.0,-4.323206868686215,6.279694648675598,0.4891219449973456,-2.6507253793404533,0.4891219449973456,-2.6507253793404533
32,0.0,0.0,-4.2600943596543,6.279694648675598,0.5049000722553245,-2.6349472520824744,0.5049000722553245,-2.6349472520824744
33,0.0,0.0,-4.196981850622384,6.279694648675598,0.5206781995133034,-2.6191691248244955,0.5206781995133034,-2.6191691248244955
34,0.0,0.0,-4.133869341590469,6.279694648675598,0.5364563267712823,-2.6033909975665166,0.5364563267712823,-2.6033909975665166
35,0.0,0.0,-4.070756832558553,6.279694648675598,0.5522344540292612,-2.5876128703085377,0.5522344540292612,-2.5876128703085377
36,0.0,0.0,-4.0076443235266375,6.279694648675598,0.5680125812872401,-2.571834743050559,0.5680125812872401,-2.571834743050559
37,0.0,0.0,-3.9445318144947223,6.279694648675598,0.5837907085452189,-2.55605661579258,0.5837907085452189,-2.55605661579258
38,0.0,0.0,-3.881419305462807,6.279694648675598,0.5995688358031978,-2.540278488534601,0.5995688358031978,-2.540278488534601
39,0.0,0.0,-3.818306796430891,6.279694648675598,0.6153469630611766,-2.524500361276622,0.6153469630611766,-2.524500361276622
40,0.0,0.0,-3.7551942873989756,6.279694648675598,0.6311250903191555,-2.5087222340186432,0.6311250903191555,-2.5087222340186432
41,0.0,0.0,-3.69208177836706,6.279694648675598,0.6469032175771344,-2.4929441067606644,0.6469032175771344,-2.4929441067606644
