1665510315.69, Start Optitrack recording!
1665510316.701, Logging frame for timestamp synchronization
1665510316.719, Dynamixel 0 has been disabled for setting 
1665510316.736, Dynamixel 0 drive mode configured to velocity-based 
1665510316.752, Dynamixel 0's profile max speed has been set to 5 rev/min 
1665510316.768, Dynamixel 0 has been re-enabled for setting 
1665510316.783, Dynamixel 0 has been disabled for setting 
1665510316.8, Dynamixel 0 drive mode configured to velocity-based 
1665510316.815, Dynamixel 0's profile max speed has been set to 5 rev/min 
1665510316.831, Dynamixel 0 has been re-enabled for setting 
1665510316.847, Dynamixel 0 has been disabled for setting 
1665510316.863, Dynamixel 0 drive mode configured to velocity-based 
1665510316.879, Dynamixel 0's profile max speed has been set to 5 rev/min 
1665510316.895, Dynamixel 0 has been re-enabled for setting 
1665510316.911, Dynamixel 0 has been disabled for setting 
1665510316.927, Dynamixel 0 drive mode configured to velocity-based 
1665510316.943, Dynamixel 0's profile max speed has been set to 5 rev/min 
1665510316.959, Dynamixel 0 has been re-enabled for setting 
1665510316.96, Goal Positions, 12, 3575, -88, 3999
1665510316.962, Frame, Optitrack Timestamp, Rigid Body ID, Rigid Body Name, X (mm),Y,Z, qx,qy,qz,qw
1665510316.963, 36, 8188.566667, 2, Base, 384.589508, 46.210804, 127.459167, -0.000107, -0.000047, -0.000047, -1.000000
1665510316.965, 36, 8188.566667, 3, Platform, 388.060974, 162.094513, 129.192429, -0.000977, -0.003669, -0.001778, -0.999991
1665510316.967, 36, 8188.566667, 4, Ring 1, 362.118439, 97.996620, 152.532745, -0.000139, 0.000018, 0.000082, -1.000000
1665510317.007, ID, Load, Velocity, Pos
1665510317.009, 21, 0, 0, 12
1665510317.009, 22, 0, 0, 3575
1665510317.009, 23, -3, 0, -88
1665510317.009, 24, -1, 0, 3999
1665510317.01, Begin 2 wait period
1665510317.011, Frame, Optitrack Timestamp, Rigid Body ID, Rigid Body Name, X (mm),Y,Z, qx,qy,qz,qw
1665510317.011, 38, 8188.633333, 2, Base, 384.588562, 46.212914, 127.460358, -0.000113, -0.000028, -0.000077, -1.000000
1665510317.013, 38, 8188.633333, 3, Platform, 388.056335, 162.096100, 129.190643, -0.001001, -0.003693, -0.001774, -0.999991
1665510317.018, 38, 8188.633333, 4, Ring 1, 362.118530, 97.998604, 152.532211, -0.000186, 0.000066, 0.000088, -1.000000
1665510317.119, ID, Load, Velocity, Pos
1665510317.12, 21, 0, 0, 12
1665510317.121, 22, 0, 0, 3576
1665510317.121, 23, -3, 0, -87
1665510317.121, 24, -1, 0, 3999
1665510317.122, Frame, Optitrack Timestamp, Rigid Body ID, Rigid Body Name, X (mm),Y,Z, qx,qy,qz,qw
1665510317.123, 41, 8188.733333, 2, Base, 384.590790, 46.213337, 127.460808, -0.000105, -0.000023, -0.000072, -1.000000
1665510317.124, 41, 8188.733333, 3, Platform, 388.058319, 162.094528, 129.197662, -0.000994, -0.003650, -0.001794, -0.999991
1665510317.125, 41, 8188.733333, 4, Ring 1, 362.120178, 97.997787, 152.533493, -0.000190, 0.000045, 0.000065, -1.000000
1665510317.231, ID, Load, Velocity, Pos
1665510317.232, 21, 0, 0, 12
1665510317.232, 22, 0, 0, 3575
1665510317.232, 23, -3, 0, -87
1665510317.232, 24, -1, 0, 3999
1665510317.233, Frame, Optitrack Timestamp, Rigid Body ID, Rigid Body Name, X (mm),Y,Z, qx,qy,qz,qw
1665510317.233, 44, 8188.833333, 2, Base, 384.591187, 46.212692, 127.460030, -0.000108, -0.000030, -0.000070, -1.000000
1665510317.234, 44, 8188.833333, 3, Platform, 388.062561, 162.095093, 129.195953, -0.000992, -0.003650, -0.001770, -0.999991
1665510317.236, 44, 8188.833333, 4, Ring 1, 362.122375, 97.998245, 152.532639, -0.000163, 0.000036, 0.000089, -1.000000
1665510317.328, ID, Load, Velocity, Pos
1665510317.329, 21, 0, 0, 12
1665510317.329, 22, -1, 0, 3576
1665510317.329, 23, -2, 0, -88
1665510317.329, 24, -1, 0, 3999
1665510317.331, Frame, Optitrack Timestamp, Rigid Body ID, Rigid Body Name, X (mm),Y,Z, qx,qy,qz,qw
1665510317.332, 47, 8188.933333, 2, Base, 384.589630, 46.212700, 127.460106, -0.000112, -0.000023, -0.000086, -1.000000
1665510317.333, 47, 8188.933333, 3, Platform, 388.061554, 162.094437, 129.193939, -0.000997, -0.003673, -0.001773, -0.999991
1665510317.334, 47, 8188.933333, 4, Ring 1, 362.121399, 97.998032, 152.533463, -0.000137, 0.000042, 0.000084, -1.000000
1665510317.439, ID, Load, Velocity, Pos
1665510317.44, 21, 0, 0, 12
1665510317.44, 22, 0, 0, 3575
1665510317.44, 23, -2, 0, -87
1665510317.44, 24, -1, 0, 3999
1665510317.441, Frame, Optitrack Timestamp, Rigid Body ID, Rigid Body Name, X (mm),Y,Z, qx,qy,qz,qw
1665510317.441, 51, 8189.066667, 2, Base, 384.589874, 46.216492, 127.459679, -0.000076, -0.000072, -0.000071, -1.000000
1665510317.442, 51, 8189.066667, 3, Platform, 388.043030, 162.098221, 129.198730, -0.001029, -0.003677, -0.001802, -0.999991
1665510317.443, 51, 8189.066667, 4, Ring 1, 362.112946, 97.999916, 152.535965, -0.000179, -0.000017, 0.000022, -1.000000
1665510317.551, ID, Load, Velocity, Pos
1665510317.552, 21, 0, 0, 11
1665510317.552, 22, 0, 0, 3575
1665510317.552, 23, -3, 0, -87
1665510317.552, 24, -1, 0, 3999
1665510317.553, Frame, Optitrack Timestamp, Rigid Body ID, Rigid Body Name, X (mm),Y,Z, qx,qy,qz,qw
1665510317.553, 54, 8189.166667, 2, Base, 384.586548, 46.215191, 127.463387, -0.000094, -0.000033, -0.000063, -1.000000
1665510317.555, 54, 8189.166667, 3, Platform, 388.057556, 162.095749, 129.201385, -0.000998, -0.003656, -0.001776, -0.999991
1665510317.556, 54, 8189.166667, 4, Ring 1, 362.117340, 98.000557, 152.538116, -0.000119, 0.000042, 0.000132, -1.000000
1665510317.647, ID, Load, Velocity, Pos
1665510317.648, 21, 0, 0, 12
1665510317.648, 22, 0, 0, 3575
1665510317.648, 23, -2, 0, -88
1665510317.648, 24, -1, 0, 3999
1665510317.649, Frame, Optitrack Timestamp, Rigid Body ID, Rigid Body Name, X (mm),Y,Z, qx,qy,qz,qw
1665510317.649, 57, 8189.266667, 2, Base, 384.587189, 46.214748, 127.461716, -0.000103, -0.000032, -0.000073, -1.000000
1665510317.65, 57, 8189.266667, 3, Platform, 388.049347, 162.094696, 129.201416, -0.000997, -0.003651, -0.001796, -0.999991
1665510317.651, 57, 8189.266667, 4, Ring 1, 362.115417, 97.998825, 152.535721, -0.000157, 0.000018, 0.000038, -1.000000
1665510317.759, ID, Load, Velocity, Pos
1665510317.76, 21, 0, 0, 12
1665510317.76, 22, -1, 0, 3575
1665510317.76, 23, -3, 0, -88
1665510317.76, 24, -1, 0, 3999
1665510317.761, Frame, Optitrack Timestamp, Rigid Body ID, Rigid Body Name, X (mm),Y,Z, qx,qy,qz,qw
