sample_idx,q_p_ss_0,q_p_ss_1,q_p_ss_2,q_p_ss_3,u_ss_0,u_ss_1,u_ss_2,u_ss_3
0,0.0,0.0,0.0,6.279694648675598,1.5699236621688994,-1.5699236621688994,1.5699236621688994,-1.5699236621688994
1,0.1991414244326796,0.3974809766348937,0.0,6.279694648675598,1.5203387741183458,-1.7190792624357927,1.619508550219453,-1.4207680619020062
2,0.3974809766348937,0.7885663355633354,0.0,6.279694648675598,1.472152322436789,-1.8664354902184568,1.66769500190101,-1.2734118341193421
3,0.5942200132326328,1.166963366961895,0.0,6.279694648675598,1.426737823736584,-2.0102195072175313,1.713109500601215,-1.1296278171202676
4,0.7885663355633354,1.5265835209468275,0.0,6.279694648675598,1.3854193658230265,-2.14871112629644,1.7544279585147724,-0.9911361980413587
5,0.9797373795802986,1.8616403746208785,0.0,6.279694648675598,1.3494479134087545,-2.2802681007191934,1.7903994109290442,-0.8595792236186051
6,1.166963366961895,2.1667427377837822,0.0,6.279694648675598,1.3199788194634277,-2.4033501883553186,1.8198685048743712,-0.7364971359824802
7,1.3494904047371852,2.436981399200716,0.0,6.279694648675598,1.2980509135530167,-2.516541613153375,1.8417964107847822,-0.6233057111844242
8,1.5265835209468275,2.6680081176487684,0.0,6.279694648675598,1.2845675129934142,-2.618571571817798,1.8552798113443845,-0.5212757525200005
9,1.6975296241157583,2.8561055867459375,0.0,6.279694648675598,1.2802796715113547,-2.708332464884323,1.859567652826444,-0.4315148594534755
10,1.8616403746208785,2.9982472478023423,0.0,6.279694648675598,1.2857719438735336,-2.7848955677747047,1.8540753804642656,-0.35495175656309425
11,2.01825495639177,3.0921459882825015,0.0,6.279694648675598,1.3014509041962166,-2.8475238983374673,1.8383964201415823,-0.29232342600033157
12,2.1667427377837822,3.136290942302184,0.0,6.279694648675598,1.327536611039299,-2.895682082190391,1.8123107132985,-0.24416524214740787
13,2.306505810909088,3.129971801026062,0.0,6.279694648675598,1.364057164639656,-2.929043065152687,1.7757901596981431,-0.21080425918511192
14,2.436981399200716,3.073290241802765,0.0,6.279694648675598,1.4108464515183872,-2.9474915724197697,1.7290008728194115,-0.19235575191802923
15,2.557644123515162,2.967158292138281,0.0,6.279694648675598,1.4675451200131198,-2.9511242660822603,1.6723022043246791,-0.1887230582555387
16,2.6680081176487684,2.8132836548319764,0.0,6.279694648675598,1.5336047778730975,-2.9402466052890857,1.6062425464647017,-0.19960071904871324
17,2.767628984749444,2.6141422303992963,0.0,6.279694648675598,1.6082953507564364,-2.915366465956084,1.5315519735813623,-0.2244808583817144
18,2.8561055867459375,2.3729382789056483,0.0,6.279694648675598,1.6907154891289717,-2.877184628581796,1.4491318352088272,-0.262662695756003
19,2.9330816595892752,2.093552862222467,0.0,6.279694648675598,1.7798058615106016,-2.826582292621835,1.3600414628271973,-0.313265031715964
20,2.9982472478023423,1.7804813962888761,0.0,6.279694648675598,1.874365125047266,-2.7646058231917037,1.2654821992905327,-0.3752415011460948
21,3.051339952561192,1.4387613181864263,0.0,6.279694648675598,1.973068320762591,-2.6924489798558042,1.166779003575208,-0.4473983444819949
22,3.0921459882825015,1.0738910318907307,0.0,6.279694648675598,2.0744874012668424,-2.6114329172122073,1.0653599230709567,-0.5284144071255914
23,3.120501043462655,0.6917414368932536,0.0,6.279694648675598,2.17711356381125,-2.5229842822578767,0.962733760526549,-0.6168630420799223
24,3.136290942302184,0.29846146323077655,0.0,6.279694648675598,2.2793810319367513,-2.42861176355214,0.8604662924010477,-0.7112355607856592
25,3.1394521044514074,-0.09962086710067598,0.0,6.279694648675598,2.3796919050569203,-2.329881471506582,0.7601554192808785,-0.8099658528312167
26,3.129971801026062,-0.4961002603885603,0.0,6.279694648675598,2.4764416775225553,-2.228391547328275,0.6634056468152437,-0.9114557770095241
27,3.1078882058620287,-0.8845972147774103,0.0,6.279694648675598,2.5680450173287594,-2.125746409940054,0.5718023070090397,-1.0141009143977449
28,3.073290241802765,-1.2588606688417787,0.0,6.279694648675598,2.6529613898300353,-2.023531055409146,0.4868859345077635,-1.116316268928653
29,3.026317222638403,-1.6128685835045788,0.0,6.279694648675598,2.7297201137046447,-1.9232858219523554,0.41012721063315405,-1.2165615023854435
30,2.967158292138281,-1.9409248389001337,0.0,6.279694648675598,2.7969444449285032,-1.8264820254784362,0.34290287940929565,-1.3133652988593627
31,2.896051662435749,-2.2377508870750673,0.0,6.279694648675598,2.8533742995466036,-1.7344988560090697,0.2864730247911953,-1.4053484683287292
32,2.8132836548319764,-2.498570685800855,0.0,6.279694648675598,2.897887247327107,-1.6486019044266798,0.24196007701069155,-1.4912454199111191
33,2.7191875468811313,-2.719187546881132,0.0,6.279694648675598,2.9295174356094655,-1.5699236621688992,0.21032988872833358,-1.5699236621688997
34,2.6141422303992963,-2.89605166243575,0.0,6.279694648675598,2.9474721353776614,-1.499446304159786,0.19237518896013783,-1.640401020178013
35,2.498570685800855,-3.026317222638403,0.0,6.279694648675598,2.951145639278714,-1.4379870279595126,0.1887016850590849,-1.7018602963782863
36,2.3729382789056483,-3.1078882058620287,0.0,6.279694648675598,2.9401302833608187,-1.3861861804298043,0.19971704097698018,-1.7536611439079945
37,2.237750887075067,-3.1394521044514074,0.0,6.279694648675598,2.914224410050518,-1.3444983578248144,0.22562291428728087,-1.7953489665129847
38,2.093552862222467,-3.120501043462655,0.0,6.279694648675598,2.87343713859018,-1.3131866168588524,0.2664101857476189,-1.8266607074789465
39,1.940924838900133,-3.051339952561192,0.0,6.279694648675598,2.817989860034231,-1.2923198837536347,0.32185746430356815,-1.8475274405841644
40,1.7804813962888761,-2.9330816595892744,0.0,6.279694648675598,2.7483144261384367,-1.2817735963438,0.3915328981993618,-1.8580737279939987
41,1.6128685835045795,-2.7676289847494435,0.0,6.279694648675598,2.665048054232405,-1.2812335618576833,0.4747992701053937,-1.8586137624801153
42,1.4387613181864263,-2.5576441235151623,0.0,6.279694648675598,2.5690250225942965,-1.2902029608367154,0.5708223017435023,-1.8496443635010835
43,1.258860668841777,-2.3065058109090875,0.0,6.279694648675598,2.4612652821066154,-1.308012376652072,0.6785820422311833,-1.831834947685727
44,1.0738910318907307,-2.0182549563917687,0.0,6.279694648675598,2.3429601592395244,-1.33383268104364,0.7968871650982747,-1.8060146432941588
45,0.8845972147774098,-1.697529624115758,0.0,6.279694648675598,2.215455371892191,-1.3666905598343124,0.9243919524456076,-1.7731567645034865
46,0.6917414368932536,-1.3494904047371834,0.0,6.279694648675598,2.080231622576509,-1.405486420207917,1.0596157017612902,-1.734360904129882
47,0.4961002603885583,-0.9797373795802958,0.0,6.279694648675598,1.938883072161113,-1.449014382370965,1.200964252176686,-1.690832941966834
48,0.29846146323077655,-0.5942200132326343,0.0,6.279694648675598,1.7930940312847523,-1.495984024668435,1.3467532930530466,-1.6438632996693638
49,0.09962086710067534,-0.19914142443267963,0.0,6.279694648675598,1.6446142350522381,-1.5450435228358985,1.4952330892855608,-1.5948038015019004
50,-0.09962086710067598,0.1991414244326809,0.0,6.279694648675598,1.49523308928556,-1.5948038015019006,1.6446142350522388,-1.5450435228358983
51,-0.29846146323077716,0.5942200132326355,0.0,6.279694648675598,1.3467532930530464,-1.643863299669364,1.7930940312847525,-1.4959840246684348
52,-0.4961002603885603,0.9797373795802997,0.0,6.279694648675598,1.2009642521766843,-1.6908329419668342,1.9388830721611146,-1.4490143823709647
53,-0.6917414368932543,1.3494904047371845,0.0,6.279694648675598,1.0596157017612897,-1.734360904129882,2.080231622576509,-1.405486420207917
54,-0.8845972147774103,1.6975296241157591,0.0,6.279694648675598,0.924391952445607,-1.7731567645034867,2.2154553718921917,-1.3666905598343122
55,-1.0738910318907313,2.0182549563917696,0.0,6.279694648675598,0.7968871650982741,-1.806014643294159,2.342960159239525,-1.3338326810436398
56,-1.2588606688417787,2.30650581090909,0.0,6.279694648675598,0.6785820422311822,-1.8318349476857274,2.4612652821066168,-1.3080123766520715
57,-1.4387613181864267,2.557644123515163,0.0,6.279694648675598,0.5708223017435021,-1.8496443635010833,2.5690250225942965,-1.2902029608367154
58,-1.6128685835045788,2.767628984749443,0.0,6.279694648675598,0.47479927010539397,-1.8586137624801156,2.665048054232405,-1.2812335618576833
59,-1.780481396288878,2.933081659589276,0.0,6.279694648675598,0.39153289819936093,-1.8580737279939992,2.748314426138438,-1.2817735963438
60,-1.9409248389001337,3.0513399525611926,0.0,6.279694648675598,0.3218574643035679,-1.8475274405841642,2.8179898600342312,-1.2923198837536347
61,-2.0935528622224675,3.1205010434626557,0.0,6.279694648675598,0.26641018574761866,-1.8266607074789467,2.8734371385901802,-1.3131866168588524
62,-2.2377508870750673,3.1394521044514074,0.0,6.279694648675598,0.22562291428728076,-1.7953489665129845,2.9142244100505184,-1.3444983578248144
63,-2.3729382789056497,3.1078882058620283,0.0,6.279694648675598,0.19971704097697995,-1.753661143907994,2.940130283360819,-1.3861861804298048
64,-2.498570685800855,3.0263172226384025,0.0,6.279694648675598,0.18870168505908502,-1.7018602963782863,2.951145639278714,-1.4379870279595126
65,-2.6141422303992967,2.8960516624357497,0.0,6.279694648675598,0.19237518896013783,-1.6404010201780124,2.947472135377661,-1.499446304159786
66,-2.719187546881132,2.7191875468811304,0.0,6.279694648675598,0.2103298887283338,-1.569923662168899,2.929517435609465,-1.5699236621689
67,-2.813283654831977,2.4985706858008547,0.0,6.279694648675598,0.24196007701069155,-1.491245419911119,2.8978872473271076,-1.64860190442668
68,-2.89605166243575,2.2377508870750638,0.0,6.279694648675598,0.28647302479119585,-1.4053484683287278,2.853374299546603,-1.734498856009071
69,-2.9671582921382806,1.9409248389001348,0.0,6.279694648675598,0.34290287940929554,-1.3133652988593627,2.7969444449285032,-1.8264820254784357
70,-3.026317222638403,1.612868583504578,0.0,6.279694648675598,0.41012721063315427,-1.216561502385443,2.7297201137046447,-1.9232858219523559
71,-3.0732902418027654,1.2588606688417763,0.0,6.279694648675598,0.4868859345077641,-1.116316268928652,2.652961389830035,-2.023531055409147
72,-3.1078882058620287,0.8845972147774105,0.0,6.279694648675598,0.5718023070090397,-1.0141009143977449,2.5680450173287594,-2.125746409940054
73,-3.129971801026062,0.4961002603885563,0.0,6.279694648675598,0.6634056468152448,-0.911455777009523,2.476441677522554,-2.228391547328276
74,-3.1394521044514074,0.09962086710067332,0.0,6.279694648675598,0.7601554192808792,-0.809965852831216,2.37969190505692,-2.329881471506583
75,-3.136290942302184,-0.2984614632307764,0.0,6.279694648675598,0.8604662924010474,-0.7112355607856594,2.2793810319367513,-2.4286117635521394
76,-3.120501043462655,-0.6917414368932536,0.0,6.279694648675598,0.962733760526549,-0.6168630420799223,2.17711356381125,-2.5229842822578767
77,-3.0921459882825015,-1.073891031890729,0.0,6.279694648675598,1.0653599230709563,-0.5284144071255918,2.0744874012668424,-2.6114329172122073
78,-3.051339952561192,-1.4387613181864272,0.0,6.279694648675598,1.1667790035752081,-0.44739834448199467,1.9730683207625908,-2.6924489798558042
79,-2.9982472478023423,-1.7804813962888772,0.0,6.279694648675598,1.2654821992905332,-0.37524150114609456,1.8743651250472657,-2.7646058231917046
80,-2.9330816595892744,-2.0935528622224697,0.0,6.279694648675598,1.3600414628271984,-0.3132650317159633,1.7798058615106005,-2.8265822926218354
81,-2.856105586745937,-2.37293827890565,0.0,6.279694648675598,1.4491318352088278,-0.26266269575600265,1.690715489128971,-2.877184628581796
82,-2.7676289847494435,-2.614142230399298,0.0,6.279694648675598,1.5315519735813634,-0.22448085838171405,1.608295350756436,-2.915366465956085
83,-2.6680081176487684,-2.8132836548319764,0.0,6.279694648675598,1.6062425464647017,-0.19960071904871324,1.5336047778730975,-2.9402466052890857
84,-2.5576441235151623,-2.9671582921382806,0.0,6.279694648675598,1.6723022043246791,-0.1887230582555387,1.4675451200131198,-2.9511242660822603
85,-2.436981399200715,-3.073290241802766,0.0,6.279694648675598,1.7290008728194124,-0.19235575191802923,1.4108464515183867,-2.9474915724197697
86,-2.3065058109090875,-3.129971801026062,0.0,6.279694648675598,1.7757901596981434,-0.21080425918511203,1.3640571646396558,-2.929043065152687
87,-2.1667427377837805,-3.1362909423021836,0.0,6.279694648675598,1.8123107132985004,-0.24416524214740842,1.3275366110392985,-2.8956820821903904
88,-2.0182549563917687,-3.092145988282501,0.0,6.279694648675598,1.8383964201415828,-0.292323426000332,1.3014509041962163,-2.847523898337467
89,-1.8616403746208774,-2.9982472478023414,0.0,6.279694648675598,1.8540753804642653,-0.35495175656309474,1.2857719438735336,-2.7848955677747043
90,-1.697529624115758,-2.8561055867459375,0.0,6.279694648675598,1.8595676528264442,-0.43151485945347556,1.2802796715113547,-2.708332464884323
91,-1.526583520946828,-2.668008117648769,0.0,6.279694648675598,1.855279811344385,-0.5212757525200002,1.2845675129934142,-2.6185715718177986
92,-1.3494904047371834,-2.4369813992007137,0.0,6.279694648675598,1.8417964107847822,-0.6233057111844251,1.298050913553017,-2.516541613153374
93,-1.1669633669618944,-2.1667427377837813,0.0,6.279694648675598,1.8198685048743712,-0.7364971359824803,1.3199788194634277,-2.4033501883553186
94,-0.9797373795802958,-1.8616403746208736,0.0,6.279694648675598,1.790399410929044,-0.8595792236186072,1.3494479134087551,-2.280268100719192
95,-0.788566335563336,-1.5265835209468286,0.0,6.279694648675598,1.7544279585147726,-0.9911361980413583,1.3854193658230263,-2.1487111262964405
96,-0.5942200132326343,-1.1669633669618975,0.0,6.279694648675598,1.7131095006012151,-1.1296278171202665,1.4267378237365838,-2.010219507217532
97,-0.39748097663489296,-0.788566335563334,0.0,6.279694648675598,1.6676950019010097,-1.2734118341193428,1.4721523224367892,-1.8664354902184561
98,-0.19914142443267963,-0.39748097663489373,0.0,6.279694648675598,1.619508550219453,-1.4207680619020062,1.5203387741183458,-1.7190792624357927
99,-7.690407951123333e-16,-1.5380815902246666e-15,0.0,6.279694648675598,1.5699236621688997,-1.5699236621688988,1.5699236621688992,-1.5699236621689001
